sample,nosc.rao,HC.rao,OC_rao
ECA2_0034_08_p1.corems,0.015902892,0.015707444,0.016584874
ECA2_0034_09_p1.corems,0.016699118,0.01661581,0.017814636
ECA2_0034_10_p1.corems,0.011163046,0.011192396,0.011791295
ECA2_0035_01_p08.corems,0.024059713,0.023501723,0.026455648
ECA2_0035_02_p1.corems,0.016431724,0.016462913,0.017452086
ECA2_0035_03_p1.corems,0.006814386,0.006781556,0.00795285
ECA2_0035_04_p1.corems,0.007734683,0.006930807,0.008988972
ECA2_0035_05_p1.corems,0.011458608,0.01076426,0.013001168
ECA2_0035_07_p1.corems,0.017330606,0.017802982,0.017712362
ECA2_0035_08_p15.corems,0.016755625,0.017636447,0.017521004
ECA2_0035_10_p1.corems,0.005428978,0.004834537,0.006403742
ECA2_0036_01_p1.corems,0.008438284,0.008490336,0.010052044
ECA2_0036_02_p1.corems,0.017727726,0.016714384,0.020796207
ECA2_0036_03_p1.corems,0.026326286,0.02569468,0.029408657
ECA2_0036_04_p1.corems,0.027080632,0.028781108,0.027344324
ECA2_0036_05_p1.corems,0.018368011,0.019004138,0.019455372
ECA2_0036_06_p1.corems,0.035551499,0.03736739,0.035239174
ECA2_0036_07_p1.corems,0.021340555,0.021531203,0.024112976
ECA2_0036_08_p1.corems,0.016995706,0.016719499,0.019196027
ECA2_0036_09_p1.corems,0.012149329,0.012363187,0.013274705
ECA2_0036_10_p1.corems,0.030275316,0.031205786,0.030997776
ECA2_0037_01_p1.corems,0.010691335,0.010801087,0.01062608
ECA2_0037_02_p1.corems,0.006862603,0.007235461,0.007096792
ECA2_0037_03_p1.corems,0.003349892,0.003221797,0.004276773
ECA2_0037_04_p1.corems,0.009220017,0.009555996,0.009564391
ECA2_0037_05_p1.corems,0.004946017,0.004775039,0.005282296
ECA2_0037_06_p1.corems,0.007914651,0.008147331,0.008013019
ECA2_0037_07_p1.corems,0.01554607,0.015752366,0.016018858
ECA2_0037_08_p1.corems,0.01307377,0.012901956,0.014085153
ECA2_0037_09_p1.corems,0.008206386,0.007682233,0.008993969
ECA2_0037_10_p1.corems,0.006667632,0.005987176,0.007574287
ECA2_0038_01_p1.corems,0.01899055,0.019063641,0.019139784
ECA2_0038_02_p1.corems,0.020044362,0.020563077,0.019778084
ECA2_0038_03_p1.corems,0.011432678,0.011300457,0.011537514
ECA2_0038_04_p1.corems,0.018560897,0.018907885,0.018506389
ECA2_0038_05_p1.corems,0.012034116,0.012058678,0.013041997
ECA2_0038_06_p1.corems,0.016845972,0.016895614,0.016909581
ECA2_0038_07_p1.corems,0.0165298,0.016778624,0.016933075
ECA2_0038_08_p1.corems,0.021872562,0.022494146,0.021461013
ECA2_0038_09_p1.corems,0.01208682,0.011902439,0.012305431
ECA2_0038_10_p1.corems,0.014381379,0.01402755,0.014944085
ECA2_0039_01_p1.corems,0.005320877,0.005136243,0.00566531
ECA2_0039_02_p1.corems,0.015777102,0.015804871,0.016322311
ECA2_0039_03_p1.corems,0.006619796,0.006456405,0.007120953
ECA2_0039_04_p1.corems,0.006046911,0.005973818,0.006525468
ECA2_0039_05_p1.corems,0.01009652,0.009891067,0.010734588
ECA2_0039_06_p1.corems,0.006119094,0.006179098,0.007620831
ECA2_0039_07_p1.corems,0.004115366,0.003934145,0.004526054
ECA2_0039_08_p1.corems,0.011763272,0.011412456,0.012505697
ECA2_0039_09_p1.corems,0.010762996,0.010796329,0.01143142
ECA2_0039_10_p1.corems,0.01421025,0.014008453,0.015140277
ECA2_0040_01_p1.corems,0.009845855,0.009882643,0.010788516
ECA2_0040_02_p1.corems,0.010702057,0.010907272,0.011637582
ECA2_0040_03_p1.corems,0.01016791,0.010177797,0.011061412
ECA2_0040_04_p1.corems,0.014096793,0.014337541,0.015407491
ECA2_0040_05_p1.corems,0.017397348,0.018181834,0.01748221
ECA2_0040_06_p08.corems,0.011280216,0.01140435,0.012355914
ECA2_0040_07_p08.corems,0.008366727,0.008382101,0.010069894
ECA2_0040_08_p08.corems,0.005787349,0.005781231,0.007088806
ECA2_0040_09_p1.corems,0.010918733,0.010959202,0.011352908
ECA2_0040_10_p1.corems,0.020355552,0.021377384,0.020878157
ECA2_0041_01_p1.corems,0.020170566,0.021814869,0.021096552
ECA2_0041_02_p1.corems,0.016040989,0.016596302,0.018613625
ECA2_0041_03_p1.corems,0.006331365,0.00685395,0.007651494
ECA2_0041_04_p1.corems,0.013897622,0.014692512,0.016066053
ECA2_0041_05_p1.corems,0.01586132,0.015952551,0.018522858
ECA2_0041_06_p1.corems,0.011217961,0.012548235,0.013890001
ECA2_0041_07_p1.corems,0.014039297,0.013926935,0.016626612
ECA2_0041_08_p1.corems,0.025775387,0.027899159,0.02723711
ECA2_0041_09_p1.corems,0.031271145,0.034571093,0.032733416
ECA2_0041_10_p1.corems,0.015407444,0.017739241,0.017290967
ECA2_0042_01_p1.corems,0.019247083,0.020558765,0.019255078
ECA2_0042_02_p1.corems,0.020083311,0.020825841,0.020623133
ECA2_0042_03_p1.corems,0.014577991,0.015107737,0.015219105
ECA2_0042_04_p1.corems,0.023594111,0.025200269,0.023872008
ECA2_0042_05_p1.corems,0.009231962,0.009659463,0.009535955
ECA2_0042_06_p1.corems,0.011810708,0.01204313,0.012299854
ECA2_0042_07_p1.corems,0.025425991,0.026437864,0.025795737
ECA2_0042_08_p1.corems,0.017278575,0.018206345,0.018194728
ECA2_0042_09_p1.corems,0.022343071,0.023103389,0.023250943
ECA2_0042_10_p1.corems,0.019522092,0.020547001,0.019759113
ECA2_0043_01_p1.corems,0.017319961,0.017235226,0.01843324
ECA2_0043_02_p1.corems,0.015631217,0.015422607,0.016437255
ECA2_0043_03_p1.corems,0.01883589,0.018450647,0.020384015
ECA2_0043_04_p1.corems,0.009997348,0.009642483,0.011557079
ECA2_0043_05_p1.corems,0.008804903,0.008146318,0.010597286
ECA2_0043_06_p1.corems,0.011181738,0.009805525,0.013479653
ECA2_0043_07_p1.corems,0.012493436,0.011316336,0.014540554
ECA2_0043_08_p1.corems,0.014979485,0.013715381,0.016594765
ECA2_0043_09_p1.corems,0.0172121,0.015888908,0.018883956
ECA2_0043_10_p1.corems,0.015278706,0.014200309,0.016784222
ECA2_0044_01_p1.corems,0.003852059,0.003267702,0.004875688
ECA2_0044_02_p1.corems,0.012176448,0.011429889,0.014006931
ECA2_0044_03_p1.corems,0.017595202,0.01856103,0.018768836
ECA2_0044_04_p1.corems,0.016730464,0.017863287,0.017286171
ECA2_0044_05_p1.corems,0.015597822,0.016326247,0.015917011
ECA2_0044_06_p1.corems,0.010665565,0.010756775,0.010984922
ECA2_0044_07_p1.corems,0.021629881,0.02290005,0.022479308
ECA2_0044_08_p1.corems,0.006502646,0.006066614,0.007667738
ECA2_0044_09_p1.corems,0.022112608,0.022837857,0.023421499
ECA2_0044_10_p1.corems,0.010739673,0.010125205,0.012554044
ECA2_0045_01_p1.corems,0.019200746,0.020159936,0.019129438
ECA2_0045_02_p1.corems,0.024927537,0.026048706,0.025053864
ECA2_0045_03_p1.corems,0.016554171,0.017179365,0.016295579
ECA2_0045_04_p1.corems,0.026559284,0.027968479,0.026925947
ECA2_0045_05_p1.corems,0.022975382,0.023737716,0.023040338
ECA2_0045_06_p1.corems,0.02546084,0.026373149,0.025980322
ECA2_0045_07_p1.corems,0.024924808,0.02579039,0.025366589
ECA2_0045_08_p1.corems,0.011453999,0.011421747,0.011732779
ECA2_0045_09_p1.corems,0.023939899,0.024410132,0.024395134
ECA2_0045_10_p1.corems,0.030256386,0.03143389,0.030260446
ECA2_0047_01_p1.corems,0.012113785,0.011069829,0.013523376
ECA2_0047_02_p1.corems,0.03154227,0.03342679,0.030055094
ECA2_0047_03_p1.corems,0.030332515,0.03198734,0.028329231
ECA2_0047_04_p1.corems,0.036338644,0.038478319,0.034076308
ECA2_0047_05_p1.corems,0.028688947,0.029819691,0.027900627
ECA2_0047_06_p1.corems,0.032851523,0.034087202,0.03136497
ECA2_0047_07_p1.corems,0.034455505,0.036565728,0.032195372
ECA2_0047_08_p1.corems,0.0329274,0.03446505,0.031327578
ECA2_0047_09_p1.corems,0.032872112,0.035700994,0.031440121
ECA2_0047_10_p1.corems,0.033857058,0.036817583,0.031961401
